127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
255	0	0	1	0	1
255	0	0	1	0	2
255	0	0	1	0	3
255	0	0	1	0	4
255	0	0	1	0	5
255	0	63.75	0	1	6
255	0	95.625	0	1	7
255	0	127.5	0	1	8
255	0	255	0	1	9
127.5	0	255	0	1	10
95.625	0	255	0	1	11
63.75	0	255	0	1	12
0	0	255	2	0	1
0	0	255	2	0	2
0	0	255	2	0	3
0	0	255	2	0	4
0	0	255	2	0	5
63.75	0	255	0	2	6
95.625	0	255	0	2	7
127.5	0	255	0	2	8
255	0	255	0	2	9
255	0	127.5	0	2	10
255	0	95.625	0	2	11
255	0	63.75	0	2	12
