MultiTargForag_2	Participant_Code = 63
Search_Type = 1	CB_Targets = 1
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	1.000000	188.465373	129.676342	1.000000	3.000000
1.000000	2.000000	306.619845	184.043395	1.000000	1.000000
1.000000	3.000000	446.348400	130.071049	1.000000	3.000000
1.000000	4.000000	528.659547	157.487456	1.000000	4.000000
1.000000	5.000000	661.649619	170.510028	1.000000	4.000000
1.000000	6.000000	780.961369	173.357208	1.000000	1.000000
1.000000	7.000000	852.399249	119.887966	1.000000	1.000000
1.000000	8.000000	969.890022	133.726533	1.000000	2.000000
1.000000	9.000000	1058.068505	145.099238	1.000000	4.000000
1.000000	10.000000	1199.332675	124.137133	1.000000	1.000000
1.000000	11.000000	226.373755	291.378252	1.000000	2.000000
1.000000	12.000000	297.950482	278.394361	1.000000	3.000000
1.000000	13.000000	450.461236	234.525680	1.000000	2.000000
1.000000	14.000000	539.821947	227.721457	1.000000	2.000000
1.000000	15.000000	658.394729	269.496277	1.000000	2.000000
1.000000	16.000000	770.236549	267.886451	1.000000	4.000000
1.000000	17.000000	869.521981	252.466433	1.000000	2.000000
1.000000	18.000000	963.005253	251.761098	1.000000	2.000000
1.000000	19.000000	1097.296413	254.026005	1.000000	3.000000
1.000000	20.000000	1205.728708	283.142709	1.000000	2.000000
1.000000	21.000000	220.235814	395.243368	1.000000	2.000000
1.000000	22.000000	316.519065	357.998108	1.000000	3.000000
1.000000	23.000000	418.286009	368.837829	1.000000	2.000000
1.000000	24.000000	534.537755	357.754789	1.000000	3.000000
1.000000	25.000000	622.972090	340.610447	1.000000	1.000000
1.000000	26.000000	766.310203	391.824410	1.000000	4.000000
1.000000	27.000000	874.397215	392.529684	1.000000	1.000000
1.000000	28.000000	993.223912	385.678626	1.000000	3.000000
1.000000	29.000000	1082.288429	394.540774	1.000000	2.000000
1.000000	30.000000	1219.962387	378.205776	1.000000	2.000000
1.000000	31.000000	217.676974	489.833933	1.000000	4.000000
1.000000	32.000000	330.753909	450.303671	1.000000	1.000000
1.000000	33.000000	407.243682	440.237928	1.000000	3.000000
1.000000	34.000000	539.489643	482.189034	1.000000	3.000000
1.000000	35.000000	646.368966	453.836276	1.000000	4.000000
1.000000	36.000000	750.907321	465.966454	1.000000	3.000000
1.000000	37.000000	841.009584	461.595308	1.000000	3.000000
1.000000	38.000000	957.346622	442.474978	1.000000	2.000000
1.000000	39.000000	1060.101765	438.648123	1.000000	2.000000
1.000000	40.000000	1203.833010	455.976690	1.000000	1.000000
1.000000	41.000000	213.493909	597.843448	1.000000	4.000000
1.000000	42.000000	323.939906	588.817643	1.000000	1.000000
1.000000	43.000000	412.297727	566.863732	1.000000	3.000000
1.000000	44.000000	554.269424	572.676524	1.000000	4.000000
1.000000	45.000000	638.189733	560.958349	1.000000	3.000000
1.000000	46.000000	770.554470	551.526448	1.000000	1.000000
1.000000	47.000000	879.458697	588.833365	1.000000	4.000000
1.000000	48.000000	993.725021	564.343472	1.000000	3.000000
1.000000	49.000000	1066.499029	558.790690	1.000000	4.000000
1.000000	50.000000	1178.469752	570.306386	1.000000	1.000000
1.000000	51.000000	178.590762	658.623019	1.000000	2.000000
1.000000	52.000000	335.039278	666.537367	1.000000	3.000000
1.000000	53.000000	447.201961	708.723379	1.000000	4.000000
1.000000	54.000000	518.947685	696.313819	1.000000	1.000000
1.000000	55.000000	662.939840	686.955443	1.000000	1.000000
