00	920.000000	1007.846097	1040.000000	1007.846097	920.000000	800.000000	680.000000	592.153903	560.000000	592.153903	680.000000	800.000000	923.127252	1031.403539	1111.769145	1154.530791	1154.530791	1111.769145	1031.403539	923.127252	800.000000	676.872748	568.596461	488.230855	445.469209	445.469209	488.230855	568.596461	676.872748	800.000000	924.233142	1040.000000	1139.411255	1215.692194	1263.644397	1280.000000	1263.644397	1215.692194	1139.411255	1040.000000	924.233142	800.000000	675.766858	560.000000	460.588745	384.307806	336.355603	320.000000	336.355603	384.307806	460.588745	560.000000	675.766858	800.000000	
00	392.153903	480.000000	600.000000	720.000000	807.846097	840.000000	807.846097	720.000000	600.000000	480.000000	392.153903	360.000000	261.710657	324.224000	420.000000	537.486656	662.513344	780.000000	875.776000	938.289343	960.000000	938.289343	875.776000	780.000000	662.513344	537.486656	420.000000	324.224000	261.710657	240.000000	136.355603	184.307806	260.588745	360.000000	475.766858	600.000000	724.233142	840.000000	939.411255	1015.692194	1063.644397	1080.000000	1063.644397	1015.692194	939.411255	840.000000	724.233142	600.000000	475.766858	360.000000	260.588745	184.307806	136.355603	120.000000	
1	4.000000	5	4.000000	4	4.000000	5	5.000000	3	3.000000	6	6.000000	5	4.000000	6	3.000000	6	4.000000	3	6.000000	6	6.000000	3	5.000000	3	4.000000	3	5.000000	6	4.000000	2	5.000000	3	5.000000	5	6.000000	6	4.000000	5	6.000000	5	3.000000	5	3.000000	4	4.000000	4	5.000000	3	3.000000	6	6.000000	5	6.000000	1	
1	9.000000	9	6.000000	7	7.000000	7	6.000000	9	6.000000	3	4.000000	7	8.000000	8	9.000000	5	9.000000	6	8.000000	2	3.000000	8	8.000000	6	8.000000	9	6.000000	5	9.000000	3	6.000000	7	8.000000	9	2.000000	7	6.000000	7	9.000000	8	7.000000	9	8.000000	6	8.000000	7	7.000000	8	7.000000	7	6.000000	9	9.000000	5	
2	4.000000	5	4.000000	4	3.000000	4	3.000000	5	6.000000	5	2.000000	5	4.000000	5	5.000000	4	6.000000	4	3.000000	5	6.000000	4	4.000000	5	3.000000	5	6.000000	3	6.000000	3	3.000000	4	5.000000	6	6.000000	3	3.000000	4	6.000000	6	6.000000	3	6.000000	3	4.000000	1	6.000000	5	6.000000	5	6.000000	5	3.000000	5	
2	6.000000	8	9.000000	9	9.000000	7	9.000000	9	4.000000	8	5.000000	9	8.000000	8	8.000000	9	9.000000	7	7.000000	7	6.000000	8	8.000000	6	9.000000	6	6.000000	6	8.000000	8	8.000000	6	9.000000	2	9.000000	6	7.000000	7	3.000000	3	5.000000	8	5.000000	6	6.000000	2	8.000000	7	7.000000	7	7.000000	6	7.000000	9	
3	3.000000	3	6.000000	4	4.000000	5	4.000000	4	5.000000	6	4.000000	6	5.000000	5	3.000000	5	4.000000	6	3.000000	6	6.000000	6	3.000000	5	6.000000	5	3.000000	4	6.000000	3	3.000000	4	6.000000	5	5.000000	6	4.000000	6	5.000000	3	5.000000	6	5.000000	3	5.000000	3	3.000000	2	6.000000	4	1.000000	4	4.000000	5	
3	6.000000	9	7.000000	6	8.000000	6	6.000000	7	9.000000	4	8.000000	9	7.000000	7	8.000000	8	9.000000	8	9.000000	2	7.000000	5	9.000000	8	4.000000	8	6.000000	8	2.000000	6	7.000000	9	8.000000	6	8.000000	3	9.000000	5	6.000000	7	9.000000	6	7.000000	8	9.000000	7	8.000000	4	3.000000	7	2.000000	7	6.000000	7	
4	3.000000	5	3.000000	3	3.000000	4	6.000000	4	5.000000	6	6.000000	6	5.000000	5	5.000000	5	5.000000	1	5.000000	5	5.000000	6	6.000000	4	6.000000	2	3.000000	4	5.000000	3	6.000000	6	6.000000	4	5.000000	4	5.000000	4	3.000000	4	4.000000	5	3.000000	3	3.000000	6	6.000000	3	6.000000	6	4.000000	3	4.000000	4	
4	8.000000	6	7.000000	9	6.000000	6	5.000000	8	6.000000	3	8.000000	4	9.000000	7	7.000000	8	6.000000	5	6.000000	9	9.000000	8	3.000000	9	5.000000	2	9.000000	7	7.000000	8	9.000000	4	2.000000	7	8.000000	9	7.000000	8	9.000000	8	6.000000	8	6.000000	6	7.000000	2	7.000000	8	6.000000	6	9.000000	7	6.000000	7	
